R,G,B
19.956,13.674000000000001,3.6436
20.0124,14.490400000000001,4.7428
21.6228,14.574800000000002,5.1016
20.206400000000002,13.805200000000001,4.4472000000000005
29.6824,23.396,9.128400000000001
34.2228,27.782,10.8756
41.549600000000005,35.5976,16.02
50.5368,46.424800000000005,24.552400000000002
60.873200000000004,55.6556,31.888
70.52720000000001,66.3336,41.9716
87.06,78.7004,53.1244
103.3588,88.9144,60.384800000000006
110.3396,94.22680000000001,65.67360000000001
117.11080000000001,102.0032,73.034
120.6132,102.81240000000001,73.4304
123.6864,108.1396,80.3912
125.4668,110.8776,84.1352
125.9064,110.68,83.86280000000001
127.75120000000001,113.06320000000001,86.2264
130.856,113.06840000000001,83.98360000000001
131.2756,111.2844,79.44720000000001
133.63,112.63080000000001,81.86240000000001
135.6584,110.732,77.7124
135.5316,109.1524,74.0472
137.3632,110.738,75.97
137.1544,110.25840000000001,76.54
134.802,111.96480000000001,82.44760000000001
134.5156,117.3692,93.8524
132.59720000000002,119.32400000000001,99.35640000000001
131.7544,121.32480000000001,104.0032
133.2272,124.0608,109.0552
132.8628,121.8152,105.5536
133.4108,120.6208,102.9216
135.40800000000002,118.4632,97.5124
136.5616,112.4988,86.5352
139.0968,110.5364,79.3392
144.2912,108.548,72.9812
147.4924,105.90480000000001,65.7356
151.1536,107.76960000000001,64.4636
153.88920000000002,107.9184,62.674400000000006
153.11960000000002,106.35000000000001,60.844
154.90200000000002,108.1556,63.5912
155.55,108.0004,63.4716
154.8004,106.89200000000001,62.0412
156.27280000000002,109.3756,64.986
155.876,108.4448,64.24640000000001
155.404,108.0472,63.668000000000006
156.58960000000002,110.2564,66.298
156.58960000000002,110.2564,66.298
156.37560000000002,108.6592,64.3756
157.4224,110.4024,66.884
156.2888,108.7848,64.15520000000001
155.15800000000002,108.39840000000001,65.138
155.96,109.2292,65.80720000000001
153.1368,106.4608,63.6768
153.04840000000002,106.67800000000001,65.27720000000001
153.7544,106.49000000000001,65.5108
151.42000000000002,103.95280000000001,61.212
151.42000000000002,103.95280000000001,61.212
151.56640000000002,105.0036,62.864000000000004
151.10160000000002,104.37440000000001,62.1644
150.6576,104.7428,62.314400000000006
150.9532,104.11680000000001,62.137600000000006
149.81640000000002,102.64920000000001,59.7304
150.2832,104.8092,63.116800000000005
151.0432,103.55000000000001,60.8688
149.72560000000001,103.14200000000001,60.9408
151.3444,105.41080000000001,63.547200000000004
150.52280000000002,104.3904,61.614000000000004
150.52280000000002,104.3904,61.614000000000004
150.2024,104.22760000000001,62.40880000000001
151.44920000000002,106.2856,65.3944
150.7408,104.8776,63.7316
152.594,109.372,70.0156
153.7088,111.08160000000001,72.21640000000001
155.4284,114.9996,78.8884
156.1568,116.4624,79.9152
153.87640000000002,112.6256,75.3408
152.636,111.134,73.3452
151.93040000000002,106.816,67.1628
151.93040000000002,106.816,67.1628
149.2212,102.6984,61.338
150.304,103.72080000000001,62.315200000000004
150.43,103.0548,60.496
149.16160000000002,101.6404,58.564
150.582,104.37400000000001,62.5336
150.8012,104.33680000000001,63.088
152.66160000000002,106.5652,65.6508
152.502,105.3028,62.6064
152.4636,105.494,63.144000000000005
152.4636,105.494,63.144000000000005
154.5876,107.24000000000001,65.4576
153.3424,105.9484,63.5748
153.97560000000001,106.57600000000001,64.232
156.10920000000002,108.69600000000001,66.0228
155.54600000000002,107.046,63.7068
155.7268,108.4304,65.7188
156.21,108.00880000000001,64.7236
156.7476,109.962,68.3052
157.512,110.6388,67.9644
156.6896,109.042,66.4452
156.6896,109.042,66.4452
157.4656,110.8648,69.13080000000001
157.612,110.7544,67.8896
156.4096,109.26920000000001,66.5064
157.63240000000002,111.4932,69.4084
158.3236,110.3216,68.2112
157.2992,109.5052,67.0664
157.9336,111.8088,69.7392
157.02200000000002,109.74600000000001,67.172
157.84720000000002,111.56360000000001,69.4544
156.8004,109.48920000000001,66.94120000000001
156.8004,109.48920000000001,66.94120000000001
156.4896,109.6192,67.3936
157.638,110.5836,69.15520000000001
156.7304,108.5528,66.0668
155.762,109.33200000000001,68.1276
156.5584,109.7716,68.3248
155.124,107.744,65.5792
155.298,109.47040000000001,67.36160000000001
155.89520000000002,109.4564,67.232
155.428,109.334,67.5256
155.428,109.334,67.5256
155.7816,108.9992,67.1784
153.99120000000002,107.61080000000001,64.9944
154.82240000000002,109.2836,67.7504
155.2504,108.1932,66.6096
154.20600000000002,107.0772,65.5192
155.0684,109.5108,67.9316
155.144,108.01480000000001,65.35000000000001
154.5396,107.76400000000001,66.242
