,R,G,B
0,161.30960000000002,106.89920000000001,38.6328
1,160.76600000000002,107.1036,38.4884
2,160.7912,106.67960000000001,39.2256
3,163.01680000000002,111.9124,43.452000000000005
4,163.4036,111.6324,42.2096
5,164.5548,112.1928,42.9548
6,164.3068,112.584,43.2064
7,164.17360000000002,112.7424,42.9712
8,164.362,112.7132,43.2472
9,164.1792,112.91080000000001,44.02
10,163.4704,113.1624,44.174
11,163.67440000000002,112.7908,43.316
12,163.1044,112.67840000000001,43.414
13,163.12800000000001,112.5336,43.5968
14,162.9844,112.4936,43.3436
15,162.9712,112.2904,42.1968
16,162.9212,112.3836,42.9416
17,162.6696,112.15520000000001,42.870000000000005
18,162.9952,112.5228,43.180800000000005
19,163.41840000000002,112.664,43.059200000000004
20,163.6704,112.5968,43.5484
21,163.0644,112.39880000000001,43.1068
22,162.9368,112.0412,43.2524
23,162.2252,112.034,43.942
24,161.87040000000002,111.71560000000001,42.6496
25,161.2148,111.4024,42.3432
26,160.6976,111.0068,41.808800000000005
27,160.9848,110.6204,41.357600000000005
28,161.07760000000002,110.536,40.0488
29,161.3296,110.512,40.7532
30,161.6464,110.644,40.1052
31,161.80960000000002,110.57600000000001,40.7892
32,161.8124,110.042,40.2684
33,160.75920000000002,109.9752,39.854
34,160.4356,110.1756,40.882000000000005
35,160.4356,110.1756,40.882000000000005
36,161.16320000000002,110.6256,42.3076
37,161.97560000000001,111.5348,44.8928
38,161.9632,111.4204,45.022800000000004
39,161.84040000000002,110.89840000000001,44.6452
40,161.5676,110.34280000000001,44.8896
41,161.0516,109.70880000000001,44.6272
42,159.7688,109.0184,43.838
43,159.4644,108.31840000000001,43.994
44,158.9556,107.82000000000001,43.128
45,157.6548,107.202,42.688
46,157.6548,107.202,42.688
47,157.1448,106.79440000000001,43.641600000000004
48,157.0008,106.1504,43.7688
49,154.1412,104.64320000000001,42.824000000000005
50,152.7108,103.5104,42.1756
51,151.63160000000002,101.4564,41.3892
52,149.4848,99.5828,39.757600000000004
53,147.5772,98.66040000000001,39.99
54,146.4588,97.5248,39.916000000000004
55,145.1128,96.5372,38.230000000000004
56,143.1788,95.4576,38.4972
57,143.1788,95.4576,38.4972
58,142.3844,94.26960000000001,37.724000000000004
59,141.37800000000001,93.5724,37.8652
60,139.6604,92.5664,37.912400000000005
61,137.01080000000002,90.45280000000001,37.4624
62,135.7064,88.75,37.836
63,134.1764,87.8972,37.8448
64,132.4348,86.2352,35.9976
65,130.2688,84.6624,35.513600000000004
66,128.8324,83.1472,34.8636
67,128.8324,83.1472,34.8636
68,128.52360000000002,83.2568,35.3108
69,129.18880000000001,83.6708,35.2676
70,130.1372,84.46640000000001,35.4424
71,131.06,85.1148,35.658
72,131.0832,84.72840000000001,35.1816
73,131.6968,85.2612,34.624
74,132.894,86.29560000000001,34.821200000000005
75,134.0552,86.99680000000001,34.455200000000005
76,134.35,87.4024,34.47
77,134.56560000000002,87.05760000000001,33.5828
78,134.56560000000002,87.05760000000001,33.5828
79,134.7044,86.9396,33.3132
80,135.4284,87.6656,32.906
81,136.2896,88.38000000000001,33.696400000000004
82,137.0128,88.8024,33.408
83,136.8664,88.86840000000001,34.2316
84,137.5308,89.3276,33.4928
85,138.5832,89.7172,33.9424
86,138.52280000000002,90.114,33.518
87,138.8332,90.604,33.800000000000004
88,139.3856,90.76520000000001,33.6304
89,139.3856,90.76520000000001,33.6304
90,139.4032,90.2932,32.5632
91,139.6052,89.8048,31.6
92,140.1456,90.0528,31.678800000000003
93,140.38160000000002,90.5132,31.900000000000002
94,140.6588,90.69,31.2692
95,140.84120000000001,90.1328,29.910400000000003
96,140.79680000000002,89.43440000000001,28.820400000000003
97,141.63920000000002,90.04560000000001,28.3396
98,141.6312,90.8204,28.472800000000003
99,141.6312,90.8204,28.472800000000003
100,143.0524,91.7168,29.5944
101,143.4744,92.462,30.414
102,144.7896,93.7264,30.9796
103,145.3364,94.50120000000001,32.0576
104,145.6356,94.68520000000001,31.5344
105,145.314,94.53320000000001,30.5544
106,145.57760000000002,94.9816,30.8256
107,145.7344,95.33840000000001,30.7576
108,146.0464,95.84960000000001,31.035600000000002
109,148.1468,97.69120000000001,33.147600000000004
110,148.1468,97.69120000000001,33.147600000000004
111,149.09120000000001,98.25760000000001,33.2212
112,149.0668,98.7904,33.4544
113,149.3432,99.626,34.6948
114,149.208,99.73280000000001,34.6788
115,148.7296,99.808,34.7352
116,148.7064,99.7244,33.3624
117,149.1644,99.3724,34.638
118,149.1236,99.59400000000001,34.128
119,149.624,99.23960000000001,33.4356
120,149.6048,99.28160000000001,33.7244
121,149.6968,99.2996,32.7584
122,151.0832,99.912,33.1516
123,151.466,100.5464,33.9144
124,153.798,100.58800000000001,31.512
125,153.83880000000002,101.59960000000001,33.1252
126,154.7348,102.768,33.775600000000004
127,155.66240000000002,103.45320000000001,34.0324
128,156.5512,104.18,33.9628
129,157.5968,105.12440000000001,34.9816
130,157.91,105.1644,35.6704
131,158.1688,105.3236,34.8392
132,158.14440000000002,105.64280000000001,36.2324
133,158.2408,105.628,36.1976
134,158.06640000000002,106.444,37.406
135,158.8504,107.04560000000001,37.0332
136,159.2024,107.1436,36.8848
137,158.93880000000001,106.686,36.688
138,158.758,107.09920000000001,35.5604
139,159.246,107.1272,35.9376
140,159.2544,107.2288,35.7516
141,159.57600000000002,107.52640000000001,35.7008
142,159.4204,107.3716,34.742000000000004
143,159.732,106.6952,34.5632
144,159.204,106.69000000000001,34.424
145,159.0412,107.13680000000001,33.4544
146,159.4232,107.0044,34.9792
147,159.66,107.194,33.5324
148,159.7204,107.14800000000001,33.5232
149,159.7784,107.17320000000001,34.0644
150,160.15640000000002,107.17800000000001,34.0788
151,160.1776,107.2008,33.3112
152,160.606,107.1272,34.3716
153,160.3692,107.70400000000001,34.0424
154,161.0204,108.006,34.156800000000004
155,160.876,108.6616,34.2744
156,161.244,108.6744,34.694
157,161.46200000000002,108.914,34.470800000000004
158,161.61360000000002,108.9488,34.531600000000005
159,161.5952,108.7132,34.748000000000005
160,161.2324,108.48880000000001,33.4576
161,161.1012,108.12360000000001,33.2064
162,160.78480000000002,107.96520000000001,33.9168
163,161.3968,107.884,33.578
164,160.934,108.1804,33.442
165,161.5052,108.2852,33.7076
166,161.2944,108.35640000000001,33.7048
167,160.80440000000002,108.33080000000001,33.244800000000005
168,161.4824,108.95280000000001,34.06
169,162.38840000000002,109.4972,34.064
170,163.282,110.0844,35.0648
171,163.58280000000002,111.12960000000001,33.8532
172,163.91,111.4328,33.9028
173,163.3384,111.8848,36.6864
174,163.67520000000002,111.738,36.904
175,163.8596,111.73880000000001,37.3468
176,164.1668,111.66560000000001,36.559200000000004
177,163.9892,111.9116,37.7412
178,164.698,111.7324,36.9408
179,164.3768,111.94760000000001,37.658
180,164.23080000000002,112.0856,37.982800000000005
181,164.3444,112.00760000000001,39.0336
182,164.2644,111.9328,38.256
183,163.9968,112.05040000000001,38.2496
184,163.88760000000002,111.6616,38.0268
185,163.6988,111.6816,37.9024
186,163.9528,111.4512,38.5144
187,163.6064,111.27040000000001,38.8076
188,163.4112,111.07400000000001,38.154
189,163.3012,111.0476,38.519200000000005
190,163.5668,111.036,37.944
191,163.46880000000002,110.93440000000001,38.6864
192,163.4976,110.9396,37.991600000000005
193,163.41400000000002,111.0124,39.1496
194,163.56400000000002,111.2244,38.891200000000005
195,163.87,111.4864,39.586800000000004
196,164.2604,111.84440000000001,38.5324
197,163.98000000000002,111.932,38.3056
198,164.1468,112.1584,39.3496
199,164.58,112.13640000000001,38.562000000000005
200,164.448,112.16720000000001,38.8724
201,164.3052,111.8644,37.7912
202,164.1788,111.4684,37.896
